verbatim_name,normalized_name
Globorotalia (Hirsutella) scitula,Globorotalia Hirsutella scitula
Globorotalia (Truncorotalia) crossaformis,Globorotalia Truncorotalia crossaformis
Globorotalia (Truncorotalia) truncatulinoides,Globorotalia Truncorotalia truncatulinoides
Globorotalia anfracta,Globorotalia anfracta
Globorotalia crassaformis,Globorotalia crassaformis
Globorotalia crassaformis sensu lato,Globorotalia s.l. crassaformis
Globorotalia flexuosa,Globorotalia flexuosa
Globorotalia flexuosa _T and B_,Globorotalia flexuosa
Globorotalia hessi,Globorotalia hessi
Globorotalia hessi _B_,Globorotalia hessi
Globorotalia hirsuta,Globorotalia hirsuta
Globorotalia inflata,Globorotalia inflata
Globorotalia limbata _B,Globorotalia limbata
Globorotalia limbata _B_,Globorotalia limbata
Globorotalia limbata _T_,Globorotalia limbata
Globorotalia margaritae _T and B_ _PL3,Globorotalia margaritae
Globorotalia margaritae _T and B_ _PL3_,Globorotalia margaritae
Globorotalia menardii,Globorotalia menardii
Globorotalia multicamerata _T,Globorotalia multicamerata
Globorotalia multicamerata _T_,Globorotalia multicamerata
Globorotalia plesiotumida _B_ _M13b_,Globorotalia plesiotumida
Globorotalia plesiotumida _T,Globorotalia plesiotumida
Globorotalia plesiotumida _T_,Globorotalia plesiotumida
Globorotalia pseudomiocenica _T_ _PL6,Globorotalia pseudomiocenica
Globorotalia pseudomiocenica _T_ _PL6_,Globorotalia pseudomiocenica
Globorotalia scitula,Globorotalia scitula
Globorotalia tosaensis,Globorotalia tosaensis
Globorotalia tosaensis _T and B_ _Pt1b,Globorotalia tosaensis
Globorotalia tosaensis _T and B_ _Pt1b_,Globorotalia tosaensis
Globorotalia truncatulinoides,Globorotalia truncatulinoides
Globorotalia truncatulinoides _B,Globorotalia truncatulinoides
Globorotalia truncatulinoides _B_,Globorotalia truncatulinoides
Globorotalia tumida,Globorotalia tumida
Globorotalia tumida _B_ _PL1a_,Globorotalia tumida
Globoturborotalita apertura _T and B,Globoturborotalita apertura
Globoturborotalita apertura _T and B_,Globoturborotalita apertura
Globoturborotalita decoraperta _T and B,Globoturborotalita decoraperta
Globoturborotalita decoraperta _T and B_,Globoturborotalita decoraperta
Globoturborotalita rubescens,Globoturborotalita rubescens
Neogloboquadrina acostaensis,Neogloboquadrina acostaensis
Neogloboquadrina acostaensis (dextral),Neogloboquadrina acostaensis (dextral)
Neogloboquadrina cf. pachyderma,Neogloboquadrina cf. pachyderma
Neogloboquadrina dutertrei,Neogloboquadrina dutertrei
Neogloboquadrina humerosa,Neogloboquadrina humerosa
Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (dextral)
Neogloboquadrina inglei,Neogloboquadrina inglei
Neogloboquadrina kagaensis,Neogloboquadrina kagaensis
Neogloboquadrina nympha,Neogloboquadrina nympha
Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (dextral)
Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma (sinistral)
Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (sinistral)
"Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)"
Neogloboquadrina pachyderma(dex),Neogloboquadrina pachyderma (dextral)
Orbulina universa,Orbulina universa
Pulleniatina coiling (dextral),Pulleniatina (dextral)
Pulleniatina coiling (sinistral),Pulleniatina (sinistral)
Pulleniatina finalis,Pulleniatina finalis
Pulleniatina finalis _B,Pulleniatina finalis
Pulleniatina finalis _B_,Pulleniatina finalis
Pulleniatina obliquiloculata,Pulleniatina obliquiloculata
Pulleniatina obliquiloculata (D),Pulleniatina obliquiloculata (dextral)
Pulleniatina praecursor,Pulleniatina praecursor
Pulleniatina praespectabilis,Pulleniatina praespectabilis
Pulleniatina primalis  _Tand B,Pulleniatina primalis
Pulleniatina primalis  _Tand B_,Pulleniatina primalis
Sphaeroidinella dahiscens sensu lato,Sphaeroidinella s.l. dahiscens
Sphaeroidinella dehiscens,Sphaeroidinella dehiscens
Sphaeroidinella dehiscens s.l.,Sphaeroidinella s.l. dehiscens
Sphaeroidinella dehiscens sensu lato _B_,Sphaeroidinella s.l. dehiscens
Sphaeroidinellopsis kochi _T,Sphaeroidinellopsis kochi
Sphaeroidinellopsis kochi _T_,Sphaeroidinellopsis kochi
Sphaeroidinellopsis seminulina _T_ _PL4,Sphaeroidinellopsis seminulina
Sphaeroidinellopsis seminulina _T_ _PL4_,Sphaeroidinellopsis seminulina
